weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
339,"{'top_left': 66, 'top_right': 0, 'bottom_left': 233, 'bottom_right': 40}","{'top_left': 0.09065934065934066, 'top_right': 0.0, 'bottom_left': 0.32005494505494503, 'bottom_right': 0.054945054945054944}","(15.926253687315635, 38.61356932153392)","(0.31227948406501244, 0.7020648967551623)","(105.19875392661046, 67.82052018343036)","(0.033545521022516095, 0.025081553322274543)"
209,"{'top_left': 52, 'top_right': 0, 'bottom_left': 157, 'bottom_right': 0}","{'top_left': 0.07142857142857142, 'top_right': 0.0, 'bottom_left': 0.21565934065934067, 'bottom_right': 0.0}","(11.263157894736842, 36.186602870813395)","(0.22084623323013416, 0.657938234014789)","(93.00345688056592, 43.02644170234198)","(0.02965671456650699, 0.01591214559997854)"
239,"{'top_left': 54, 'top_right': 0, 'bottom_left': 170, 'bottom_right': 15}","{'top_left': 0.07417582417582418, 'top_right': 0.0, 'bottom_left': 0.23351648351648352, 'bottom_right': 0.020604395604395604}","(14.539748953974895, 35.61087866108787)","(0.2850931167446058, 0.6474705211106885)","(83.84440048318481, 47.553859351201844)","(0.0267360970928523, 0.017586486446450385)"
201,"{'top_left': 54, 'top_right': 0, 'bottom_left': 132, 'bottom_right': 15}","{'top_left': 0.07417582417582418, 'top_right': 0.0, 'bottom_left': 0.1813186813186813, 'bottom_right': 0.020604395604395604}","(16.243781094527364, 35.93532338308458)","(0.3185055116573993, 0.6533695160560833)","(98.23959802975172, 36.821167792876416)","(0.03132640243295654, 0.013617295781389207)"
254,"{'top_left': 35, 'top_right': 0, 'bottom_left': 219, 'bottom_right': 0}","{'top_left': 0.04807692307692308, 'top_right': 0.0, 'bottom_left': 0.3008241758241758, 'bottom_right': 0.0}","(11.51968503937008, 38.72047244094488)","(0.22587617724255057, 0.7040085898353615)","(86.752573005146, 39.44646289292578)","(0.027663448024600128, 0.014588188939691486)"
271,"{'top_left': 55, 'top_right': 0, 'bottom_left': 216, 'bottom_right': 0}","{'top_left': 0.07554945054945054, 'top_right': 0.0, 'bottom_left': 0.2967032967032967, 'bottom_right': 0.0}","(14.044280442804428, 37.45387453874539)","(0.27537804789812603, 0.6688191881918819)","(109.78292779237758, 52.455603818030795)","(0.03378975924665361, 0.019399261767023224)"
223,"{'top_left': 49, 'top_right': 0, 'bottom_left': 174, 'bottom_right': 0}","{'top_left': 0.05889423076923077, 'top_right': 0.0, 'bottom_left': 0.2091346153846154, 'bottom_right': 0.0}","(9.708520179372197, 41.053811659192824)","(0.19036314077200386, 0.6414658071748879)","(141.2885841259627, 21.91055520923405)","(0.033441085000227855, 0.00810301597974632)"
208,"{'top_left': 69, 'top_right': 0, 'bottom_left': 139, 'bottom_right': 0}","{'top_left': 0.08846153846153847, 'top_right': 0.0, 'bottom_left': 0.1782051282051282, 'bottom_right': 0.0}","(10.990384615384615, 39.11538461538461)","(0.21549773755656107, 0.6519230769230769)","(156.8136094674556, 40.153753698224854)","(0.04214286736561559, 0.014849760983071322)"
383,"{'top_left': 58, 'top_right': 7, 'bottom_left': 247, 'bottom_right': 71}","{'top_left': 0.07967032967032966, 'top_right': 0.009615384615384616, 'bottom_left': 0.3392857142857143, 'bottom_right': 0.09752747252747253}","(16.2532637075718, 37.29503916449086)","(0.3186914452465059, 0.678091621172561)","(79.09571951543742, 86.57554417850008)","(0.02522184933527979, 0.03201758290625003)"
238,"{'top_left': 30, 'top_right': 0, 'bottom_left': 181, 'bottom_right': 27}","{'top_left': 0.04120879120879121, 'top_right': 0.0, 'bottom_left': 0.24862637362637363, 'bottom_right': 0.03708791208791209}","(16.407563025210084, 40.01260504201681)","(0.32171692206294283, 0.7275019098548511)","(77.03765623896618, 55.70364027964126)","(0.024565579157833604, 0.020600458683299284)"
